"growingDay","crop","cropCoefficient","cropGrowthStage"
1,"broccoli",0.7,"initial"
2,"broccoli",0.7,"initial"
3,"broccoli",0.7,"initial"
4,"broccoli",0.7,"initial"
5,"broccoli",0.7,"initial"
6,"broccoli",0.7,"initial"
7,"broccoli",0.7,"initial"
8,"broccoli",0.7,"initial"
9,"broccoli",0.7,"initial"
10,"broccoli",0.7,"initial"
11,"broccoli",0.7,"initial"
12,"broccoli",0.7,"initial"
13,"broccoli",0.7,"initial"
14,"broccoli",0.7,"initial"
15,"broccoli",0.7,"initial"
16,"broccoli",0.7,"initial"
17,"broccoli",0.7,"initial"
18,"broccoli",0.7,"initial"
19,"broccoli",0.7,"initial"
20,"broccoli",0.7,"initial"
21,"broccoli",0.7,"initial"
22,"broccoli",0.7,"initial"
23,"broccoli",0.7,"initial"
24,"broccoli",0.7,"initial"
25,"broccoli",0.7,"initial"
26,"broccoli",0.7,"initial"
27,"broccoli",0.7,"initial"
28,"broccoli",0.7,"initial"
29,"broccoli",0.7,"initial"
30,"broccoli",0.7,"initial"
31,"broccoli",0.7,"initial"
32,"broccoli",0.7,"initial"
33,"broccoli",0.7,"initial"
34,"broccoli",0.7,"initial"
35,"broccoli",0.7,"initial"
36,"broccoli",0.708,"crop development"
37,"broccoli",0.715,"crop development"
38,"broccoli",0.723,"crop development"
39,"broccoli",0.73,"crop development"
40,"broccoli",0.738,"crop development"
41,"broccoli",0.746,"crop development"
42,"broccoli",0.753,"crop development"
43,"broccoli",0.761,"crop development"
44,"broccoli",0.768,"crop development"
45,"broccoli",0.776,"crop development"
46,"broccoli",0.784,"crop development"
47,"broccoli",0.791,"crop development"
48,"broccoli",0.799,"crop development"
49,"broccoli",0.807,"crop development"
50,"broccoli",0.814,"crop development"
51,"broccoli",0.822,"crop development"
52,"broccoli",0.829,"crop development"
53,"broccoli",0.837,"crop development"
54,"broccoli",0.845,"crop development"
55,"broccoli",0.852,"crop development"
56,"broccoli",0.86,"crop development"
57,"broccoli",0.867,"crop development"
58,"broccoli",0.875,"crop development"
59,"broccoli",0.883,"crop development"
60,"broccoli",0.89,"crop development"
61,"broccoli",0.898,"crop development"
62,"broccoli",0.905,"crop development"
63,"broccoli",0.913,"crop development"
64,"broccoli",0.921,"crop development"
65,"broccoli",0.928,"crop development"
66,"broccoli",0.936,"crop development"
67,"broccoli",0.943,"crop development"
68,"broccoli",0.951,"crop development"
69,"broccoli",0.959,"crop development"
70,"broccoli",0.966,"crop development"
71,"broccoli",0.974,"crop development"
72,"broccoli",0.982,"crop development"
73,"broccoli",0.989,"crop development"
74,"broccoli",0.997,"crop development"
75,"broccoli",1.004,"crop development"
76,"broccoli",1.012,"crop development"
77,"broccoli",1.02,"crop development"
78,"broccoli",1.027,"crop development"
79,"broccoli",1.035,"crop development"
80,"broccoli",1.042,"crop development"
81,"broccoli",1.05,"mid-season"
82,"broccoli",1.05,"mid-season"
83,"broccoli",1.05,"mid-season"
84,"broccoli",1.05,"mid-season"
85,"broccoli",1.05,"mid-season"
86,"broccoli",1.05,"mid-season"
87,"broccoli",1.05,"mid-season"
88,"broccoli",1.05,"mid-season"
89,"broccoli",1.05,"mid-season"
90,"broccoli",1.05,"mid-season"
91,"broccoli",1.05,"mid-season"
92,"broccoli",1.05,"mid-season"
93,"broccoli",1.05,"mid-season"
94,"broccoli",1.05,"mid-season"
95,"broccoli",1.05,"mid-season"
96,"broccoli",1.05,"mid-season"
97,"broccoli",1.05,"mid-season"
98,"broccoli",1.05,"mid-season"
99,"broccoli",1.05,"mid-season"
100,"broccoli",1.05,"mid-season"
101,"broccoli",1.05,"mid-season"
102,"broccoli",1.05,"mid-season"
103,"broccoli",1.05,"mid-season"
104,"broccoli",1.05,"mid-season"
105,"broccoli",1.05,"mid-season"
106,"broccoli",1.05,"mid-season"
107,"broccoli",1.05,"mid-season"
108,"broccoli",1.05,"mid-season"
109,"broccoli",1.05,"mid-season"
110,"broccoli",1.05,"mid-season"
111,"broccoli",1.05,"mid-season"
112,"broccoli",1.05,"mid-season"
113,"broccoli",1.05,"mid-season"
114,"broccoli",1.05,"mid-season"
115,"broccoli",1.05,"mid-season"
116,"broccoli",1.05,"mid-season"
117,"broccoli",1.05,"mid-season"
118,"broccoli",1.05,"mid-season"
119,"broccoli",1.05,"mid-season"
120,"broccoli",1.05,"mid-season"
121,"broccoli",1.043,"late-season"
122,"broccoli",1.037,"late-season"
123,"broccoli",1.03,"late-season"
124,"broccoli",1.023,"late-season"
125,"broccoli",1.017,"late-season"
126,"broccoli",1.01,"late-season"
127,"broccoli",1.003,"late-season"
128,"broccoli",0.997,"late-season"
129,"broccoli",0.99,"late-season"
130,"broccoli",0.983,"late-season"
131,"broccoli",0.977,"late-season"
132,"broccoli",0.97,"late-season"
133,"broccoli",0.963,"late-season"
134,"broccoli",0.957,"late-season"
135,"broccoli",0.95,"late-season"
1,"cabbage",0.7,"initial"
2,"cabbage",0.7,"initial"
3,"cabbage",0.7,"initial"
4,"cabbage",0.7,"initial"
5,"cabbage",0.7,"initial"
6,"cabbage",0.7,"initial"
7,"cabbage",0.7,"initial"
8,"cabbage",0.7,"initial"
9,"cabbage",0.7,"initial"
10,"cabbage",0.7,"initial"
11,"cabbage",0.7,"initial"
12,"cabbage",0.7,"initial"
13,"cabbage",0.7,"initial"
14,"cabbage",0.7,"initial"
15,"cabbage",0.7,"initial"
16,"cabbage",0.7,"initial"
17,"cabbage",0.7,"initial"
18,"cabbage",0.7,"initial"
19,"cabbage",0.7,"initial"
20,"cabbage",0.7,"initial"
21,"cabbage",0.7,"initial"
22,"cabbage",0.7,"initial"
23,"cabbage",0.7,"initial"
24,"cabbage",0.7,"initial"
25,"cabbage",0.7,"initial"
26,"cabbage",0.7,"initial"
27,"cabbage",0.7,"initial"
28,"cabbage",0.7,"initial"
29,"cabbage",0.7,"initial"
30,"cabbage",0.7,"initial"
31,"cabbage",0.7,"initial"
32,"cabbage",0.7,"initial"
33,"cabbage",0.7,"initial"
34,"cabbage",0.7,"initial"
35,"cabbage",0.7,"initial"
36,"cabbage",0.7,"initial"
37,"cabbage",0.7,"initial"
38,"cabbage",0.7,"initial"
39,"cabbage",0.7,"initial"
40,"cabbage",0.7,"initial"
41,"cabbage",0.706,"crop development"
42,"cabbage",0.711,"crop development"
43,"cabbage",0.717,"crop development"
44,"cabbage",0.723,"crop development"
45,"cabbage",0.729,"crop development"
46,"cabbage",0.734,"crop development"
47,"cabbage",0.74,"crop development"
48,"cabbage",0.746,"crop development"
49,"cabbage",0.752,"crop development"
50,"cabbage",0.757,"crop development"
51,"cabbage",0.763,"crop development"
52,"cabbage",0.769,"crop development"
53,"cabbage",0.775,"crop development"
54,"cabbage",0.78,"crop development"
55,"cabbage",0.786,"crop development"
56,"cabbage",0.792,"crop development"
57,"cabbage",0.798,"crop development"
58,"cabbage",0.803,"crop development"
59,"cabbage",0.809,"crop development"
60,"cabbage",0.815,"crop development"
61,"cabbage",0.82,"crop development"
62,"cabbage",0.826,"crop development"
63,"cabbage",0.832,"crop development"
64,"cabbage",0.838,"crop development"
65,"cabbage",0.843,"crop development"
66,"cabbage",0.849,"crop development"
67,"cabbage",0.855,"crop development"
68,"cabbage",0.861,"crop development"
69,"cabbage",0.866,"crop development"
70,"cabbage",0.872,"crop development"
71,"cabbage",0.878,"crop development"
72,"cabbage",0.884,"crop development"
73,"cabbage",0.889,"crop development"
74,"cabbage",0.895,"crop development"
75,"cabbage",0.901,"crop development"
76,"cabbage",0.907,"crop development"
77,"cabbage",0.912,"crop development"
78,"cabbage",0.918,"crop development"
79,"cabbage",0.924,"crop development"
80,"cabbage",0.93,"crop development"
81,"cabbage",0.935,"crop development"
82,"cabbage",0.941,"crop development"
83,"cabbage",0.947,"crop development"
84,"cabbage",0.952,"crop development"
85,"cabbage",0.958,"crop development"
86,"cabbage",0.964,"crop development"
87,"cabbage",0.97,"crop development"
88,"cabbage",0.975,"crop development"
89,"cabbage",0.981,"crop development"
90,"cabbage",0.987,"crop development"
91,"cabbage",0.993,"crop development"
92,"cabbage",0.998,"crop development"
93,"cabbage",1.004,"crop development"
94,"cabbage",1.01,"crop development"
95,"cabbage",1.016,"crop development"
96,"cabbage",1.021,"crop development"
97,"cabbage",1.027,"crop development"
98,"cabbage",1.033,"crop development"
99,"cabbage",1.039,"crop development"
100,"cabbage",1.044,"crop development"
101,"cabbage",1.05,"mid-season"
102,"cabbage",1.05,"mid-season"
103,"cabbage",1.05,"mid-season"
104,"cabbage",1.05,"mid-season"
105,"cabbage",1.05,"mid-season"
106,"cabbage",1.05,"mid-season"
107,"cabbage",1.05,"mid-season"
108,"cabbage",1.05,"mid-season"
109,"cabbage",1.05,"mid-season"
110,"cabbage",1.05,"mid-season"
111,"cabbage",1.05,"mid-season"
112,"cabbage",1.05,"mid-season"
113,"cabbage",1.05,"mid-season"
114,"cabbage",1.05,"mid-season"
115,"cabbage",1.05,"mid-season"
116,"cabbage",1.05,"mid-season"
117,"cabbage",1.05,"mid-season"
118,"cabbage",1.05,"mid-season"
119,"cabbage",1.05,"mid-season"
120,"cabbage",1.05,"mid-season"
121,"cabbage",1.05,"mid-season"
122,"cabbage",1.05,"mid-season"
123,"cabbage",1.05,"mid-season"
124,"cabbage",1.05,"mid-season"
125,"cabbage",1.05,"mid-season"
126,"cabbage",1.05,"mid-season"
127,"cabbage",1.05,"mid-season"
128,"cabbage",1.05,"mid-season"
129,"cabbage",1.05,"mid-season"
130,"cabbage",1.05,"mid-season"
131,"cabbage",1.05,"mid-season"
132,"cabbage",1.05,"mid-season"
133,"cabbage",1.05,"mid-season"
134,"cabbage",1.05,"mid-season"
135,"cabbage",1.05,"mid-season"
136,"cabbage",1.05,"mid-season"
137,"cabbage",1.05,"mid-season"
138,"cabbage",1.05,"mid-season"
139,"cabbage",1.05,"mid-season"
140,"cabbage",1.05,"mid-season"
141,"cabbage",1.05,"mid-season"
142,"cabbage",1.05,"mid-season"
143,"cabbage",1.05,"mid-season"
144,"cabbage",1.05,"mid-season"
145,"cabbage",1.05,"mid-season"
146,"cabbage",1.05,"mid-season"
147,"cabbage",1.05,"mid-season"
148,"cabbage",1.05,"mid-season"
149,"cabbage",1.05,"mid-season"
150,"cabbage",1.05,"mid-season"
151,"cabbage",1.043,"late-season"
152,"cabbage",1.037,"late-season"
153,"cabbage",1.03,"late-season"
154,"cabbage",1.023,"late-season"
155,"cabbage",1.017,"late-season"
156,"cabbage",1.01,"late-season"
157,"cabbage",1.003,"late-season"
158,"cabbage",0.997,"late-season"
159,"cabbage",0.99,"late-season"
160,"cabbage",0.983,"late-season"
161,"cabbage",0.977,"late-season"
162,"cabbage",0.97,"late-season"
163,"cabbage",0.963,"late-season"
164,"cabbage",0.957,"late-season"
165,"cabbage",0.95,"late-season"
1,"cauliflower",0.7,"initial"
2,"cauliflower",0.7,"initial"
3,"cauliflower",0.7,"initial"
4,"cauliflower",0.7,"initial"
5,"cauliflower",0.7,"initial"
6,"cauliflower",0.7,"initial"
7,"cauliflower",0.7,"initial"
8,"cauliflower",0.7,"initial"
9,"cauliflower",0.7,"initial"
10,"cauliflower",0.7,"initial"
11,"cauliflower",0.7,"initial"
12,"cauliflower",0.7,"initial"
13,"cauliflower",0.7,"initial"
14,"cauliflower",0.7,"initial"
15,"cauliflower",0.7,"initial"
16,"cauliflower",0.7,"initial"
17,"cauliflower",0.7,"initial"
18,"cauliflower",0.7,"initial"
19,"cauliflower",0.7,"initial"
20,"cauliflower",0.7,"initial"
21,"cauliflower",0.7,"initial"
22,"cauliflower",0.7,"initial"
23,"cauliflower",0.7,"initial"
24,"cauliflower",0.7,"initial"
25,"cauliflower",0.7,"initial"
26,"cauliflower",0.7,"initial"
27,"cauliflower",0.7,"initial"
28,"cauliflower",0.7,"initial"
29,"cauliflower",0.7,"initial"
30,"cauliflower",0.7,"initial"
31,"cauliflower",0.7,"initial"
32,"cauliflower",0.7,"initial"
33,"cauliflower",0.7,"initial"
34,"cauliflower",0.7,"initial"
35,"cauliflower",0.7,"initial"
36,"cauliflower",0.707,"crop development"
37,"cauliflower",0.714,"crop development"
38,"cauliflower",0.721,"crop development"
39,"cauliflower",0.727,"crop development"
40,"cauliflower",0.734,"crop development"
41,"cauliflower",0.741,"crop development"
42,"cauliflower",0.748,"crop development"
43,"cauliflower",0.755,"crop development"
44,"cauliflower",0.762,"crop development"
45,"cauliflower",0.769,"crop development"
46,"cauliflower",0.775,"crop development"
47,"cauliflower",0.782,"crop development"
48,"cauliflower",0.789,"crop development"
49,"cauliflower",0.796,"crop development"
50,"cauliflower",0.803,"crop development"
51,"cauliflower",0.81,"crop development"
52,"cauliflower",0.817,"crop development"
53,"cauliflower",0.824,"crop development"
54,"cauliflower",0.83,"crop development"
55,"cauliflower",0.837,"crop development"
56,"cauliflower",0.844,"crop development"
57,"cauliflower",0.851,"crop development"
58,"cauliflower",0.858,"crop development"
59,"cauliflower",0.865,"crop development"
60,"cauliflower",0.872,"crop development"
61,"cauliflower",0.878,"crop development"
62,"cauliflower",0.885,"crop development"
63,"cauliflower",0.892,"crop development"
64,"cauliflower",0.899,"crop development"
65,"cauliflower",0.906,"crop development"
66,"cauliflower",0.913,"crop development"
67,"cauliflower",0.92,"crop development"
68,"cauliflower",0.926,"crop development"
69,"cauliflower",0.933,"crop development"
70,"cauliflower",0.94,"crop development"
71,"cauliflower",0.947,"crop development"
72,"cauliflower",0.954,"crop development"
73,"cauliflower",0.961,"crop development"
74,"cauliflower",0.968,"crop development"
75,"cauliflower",0.975,"crop development"
76,"cauliflower",0.981,"crop development"
77,"cauliflower",0.988,"crop development"
78,"cauliflower",0.995,"crop development"
79,"cauliflower",1.002,"crop development"
80,"cauliflower",1.009,"crop development"
81,"cauliflower",1.016,"crop development"
82,"cauliflower",1.023,"crop development"
83,"cauliflower",1.029,"crop development"
84,"cauliflower",1.036,"crop development"
85,"cauliflower",1.043,"crop development"
86,"cauliflower",1.05,"mid-season"
87,"cauliflower",1.05,"mid-season"
88,"cauliflower",1.05,"mid-season"
89,"cauliflower",1.05,"mid-season"
90,"cauliflower",1.05,"mid-season"
91,"cauliflower",1.05,"mid-season"
92,"cauliflower",1.05,"mid-season"
93,"cauliflower",1.05,"mid-season"
94,"cauliflower",1.05,"mid-season"
95,"cauliflower",1.05,"mid-season"
96,"cauliflower",1.05,"mid-season"
97,"cauliflower",1.05,"mid-season"
98,"cauliflower",1.05,"mid-season"
99,"cauliflower",1.05,"mid-season"
100,"cauliflower",1.05,"mid-season"
101,"cauliflower",1.05,"mid-season"
102,"cauliflower",1.05,"mid-season"
103,"cauliflower",1.05,"mid-season"
104,"cauliflower",1.05,"mid-season"
105,"cauliflower",1.05,"mid-season"
106,"cauliflower",1.05,"mid-season"
107,"cauliflower",1.05,"mid-season"
108,"cauliflower",1.05,"mid-season"
109,"cauliflower",1.05,"mid-season"
110,"cauliflower",1.05,"mid-season"
111,"cauliflower",1.05,"mid-season"
112,"cauliflower",1.05,"mid-season"
113,"cauliflower",1.05,"mid-season"
114,"cauliflower",1.05,"mid-season"
115,"cauliflower",1.05,"mid-season"
116,"cauliflower",1.05,"mid-season"
117,"cauliflower",1.05,"mid-season"
118,"cauliflower",1.05,"mid-season"
119,"cauliflower",1.05,"mid-season"
120,"cauliflower",1.05,"mid-season"
121,"cauliflower",1.05,"mid-season"
122,"cauliflower",1.05,"mid-season"
123,"cauliflower",1.05,"mid-season"
124,"cauliflower",1.05,"mid-season"
125,"cauliflower",1.05,"mid-season"
126,"cauliflower",1.043,"late-season"
127,"cauliflower",1.037,"late-season"
128,"cauliflower",1.03,"late-season"
129,"cauliflower",1.023,"late-season"
130,"cauliflower",1.017,"late-season"
131,"cauliflower",1.01,"late-season"
132,"cauliflower",1.003,"late-season"
133,"cauliflower",0.997,"late-season"
134,"cauliflower",0.99,"late-season"
135,"cauliflower",0.983,"late-season"
136,"cauliflower",0.977,"late-season"
137,"cauliflower",0.97,"late-season"
138,"cauliflower",0.963,"late-season"
139,"cauliflower",0.957,"late-season"
140,"cauliflower",0.95,"late-season"
1,"lettuce",0.7,"initial"
2,"lettuce",0.7,"initial"
3,"lettuce",0.7,"initial"
4,"lettuce",0.7,"initial"
5,"lettuce",0.7,"initial"
6,"lettuce",0.7,"initial"
7,"lettuce",0.7,"initial"
8,"lettuce",0.7,"initial"
9,"lettuce",0.7,"initial"
10,"lettuce",0.7,"initial"
11,"lettuce",0.7,"initial"
12,"lettuce",0.7,"initial"
13,"lettuce",0.7,"initial"
14,"lettuce",0.7,"initial"
15,"lettuce",0.7,"initial"
16,"lettuce",0.7,"initial"
17,"lettuce",0.7,"initial"
18,"lettuce",0.7,"initial"
19,"lettuce",0.7,"initial"
20,"lettuce",0.7,"initial"
21,"lettuce",0.7,"initial"
22,"lettuce",0.7,"initial"
23,"lettuce",0.7,"initial"
24,"lettuce",0.7,"initial"
25,"lettuce",0.7,"initial"
26,"lettuce",0.708,"crop development"
27,"lettuce",0.717,"crop development"
28,"lettuce",0.725,"crop development"
29,"lettuce",0.733,"crop development"
30,"lettuce",0.742,"crop development"
31,"lettuce",0.75,"crop development"
32,"lettuce",0.758,"crop development"
33,"lettuce",0.767,"crop development"
34,"lettuce",0.775,"crop development"
35,"lettuce",0.783,"crop development"
36,"lettuce",0.792,"crop development"
37,"lettuce",0.8,"crop development"
38,"lettuce",0.808,"crop development"
39,"lettuce",0.817,"crop development"
40,"lettuce",0.825,"crop development"
41,"lettuce",0.833,"crop development"
42,"lettuce",0.842,"crop development"
43,"lettuce",0.85,"crop development"
44,"lettuce",0.858,"crop development"
45,"lettuce",0.867,"crop development"
46,"lettuce",0.875,"crop development"
47,"lettuce",0.883,"crop development"
48,"lettuce",0.892,"crop development"
49,"lettuce",0.9,"crop development"
50,"lettuce",0.908,"crop development"
51,"lettuce",0.917,"crop development"
52,"lettuce",0.925,"crop development"
53,"lettuce",0.933,"crop development"
54,"lettuce",0.942,"crop development"
55,"lettuce",0.95,"crop development"
56,"lettuce",0.958,"crop development"
57,"lettuce",0.967,"crop development"
58,"lettuce",0.975,"crop development"
59,"lettuce",0.983,"crop development"
60,"lettuce",0.992,"crop development"
61,"lettuce",1,"mid-season"
62,"lettuce",1,"mid-season"
63,"lettuce",1,"mid-season"
64,"lettuce",1,"mid-season"
65,"lettuce",1,"mid-season"
66,"lettuce",1,"mid-season"
67,"lettuce",1,"mid-season"
68,"lettuce",1,"mid-season"
69,"lettuce",1,"mid-season"
70,"lettuce",1,"mid-season"
71,"lettuce",1,"mid-season"
72,"lettuce",1,"mid-season"
73,"lettuce",1,"mid-season"
74,"lettuce",1,"mid-season"
75,"lettuce",1,"mid-season"
76,"lettuce",1,"mid-season"
77,"lettuce",1,"mid-season"
78,"lettuce",1,"mid-season"
79,"lettuce",1,"mid-season"
80,"lettuce",1,"mid-season"
81,"lettuce",1,"mid-season"
82,"lettuce",1,"mid-season"
83,"lettuce",1,"mid-season"
84,"lettuce",1,"mid-season"
85,"lettuce",1,"mid-season"
86,"lettuce",1,"mid-season"
87,"lettuce",1,"mid-season"
88,"lettuce",1,"mid-season"
89,"lettuce",1,"mid-season"
90,"lettuce",1,"mid-season"
91,"lettuce",0.995,"late-season"
92,"lettuce",0.99,"late-season"
93,"lettuce",0.985,"late-season"
94,"lettuce",0.98,"late-season"
95,"lettuce",0.975,"late-season"
96,"lettuce",0.97,"late-season"
97,"lettuce",0.965,"late-season"
98,"lettuce",0.96,"late-season"
99,"lettuce",0.955,"late-season"
100,"lettuce",0.95,"late-season"
1,"spinach",0.7,"initial"
2,"spinach",0.7,"initial"
3,"spinach",0.7,"initial"
4,"spinach",0.7,"initial"
5,"spinach",0.7,"initial"
6,"spinach",0.7,"initial"
7,"spinach",0.7,"initial"
8,"spinach",0.7,"initial"
9,"spinach",0.7,"initial"
10,"spinach",0.7,"initial"
11,"spinach",0.7,"initial"
12,"spinach",0.7,"initial"
13,"spinach",0.7,"initial"
14,"spinach",0.7,"initial"
15,"spinach",0.7,"initial"
16,"spinach",0.7,"initial"
17,"spinach",0.7,"initial"
18,"spinach",0.7,"initial"
19,"spinach",0.7,"initial"
20,"spinach",0.7,"initial"
21,"spinach",0.71,"crop development"
22,"spinach",0.719,"crop development"
23,"spinach",0.729,"crop development"
24,"spinach",0.739,"crop development"
25,"spinach",0.748,"crop development"
26,"spinach",0.758,"crop development"
27,"spinach",0.768,"crop development"
28,"spinach",0.777,"crop development"
29,"spinach",0.787,"crop development"
30,"spinach",0.797,"crop development"
31,"spinach",0.806,"crop development"
32,"spinach",0.816,"crop development"
33,"spinach",0.826,"crop development"
34,"spinach",0.835,"crop development"
35,"spinach",0.845,"crop development"
36,"spinach",0.855,"crop development"
37,"spinach",0.865,"crop development"
38,"spinach",0.874,"crop development"
39,"spinach",0.884,"crop development"
40,"spinach",0.894,"crop development"
41,"spinach",0.903,"crop development"
42,"spinach",0.913,"crop development"
43,"spinach",0.923,"crop development"
44,"spinach",0.932,"crop development"
45,"spinach",0.942,"crop development"
46,"spinach",0.952,"crop development"
47,"spinach",0.961,"crop development"
48,"spinach",0.971,"crop development"
49,"spinach",0.981,"crop development"
50,"spinach",0.99,"crop development"
51,"spinach",1,"mid-season"
52,"spinach",1,"mid-season"
53,"spinach",1,"mid-season"
54,"spinach",1,"mid-season"
55,"spinach",1,"mid-season"
56,"spinach",1,"mid-season"
57,"spinach",1,"mid-season"
58,"spinach",1,"mid-season"
59,"spinach",1,"mid-season"
60,"spinach",1,"mid-season"
61,"spinach",1,"mid-season"
62,"spinach",1,"mid-season"
63,"spinach",1,"mid-season"
64,"spinach",1,"mid-season"
65,"spinach",1,"mid-season"
66,"spinach",1,"mid-season"
67,"spinach",1,"mid-season"
68,"spinach",1,"mid-season"
69,"spinach",1,"mid-season"
70,"spinach",1,"mid-season"
71,"spinach",1,"mid-season"
72,"spinach",1,"mid-season"
73,"spinach",1,"mid-season"
74,"spinach",1,"mid-season"
75,"spinach",1,"mid-season"
76,"spinach",1,"mid-season"
77,"spinach",1,"mid-season"
78,"spinach",1,"mid-season"
79,"spinach",1,"mid-season"
80,"spinach",1,"mid-season"
81,"spinach",1,"mid-season"
82,"spinach",1,"mid-season"
83,"spinach",1,"mid-season"
84,"spinach",1,"mid-season"
85,"spinach",1,"mid-season"
86,"spinach",1,"mid-season"
87,"spinach",1,"mid-season"
88,"spinach",1,"mid-season"
89,"spinach",1,"mid-season"
90,"spinach",1,"mid-season"
91,"spinach",0.995,"late-season"
92,"spinach",0.99,"late-season"
93,"spinach",0.985,"late-season"
94,"spinach",0.98,"late-season"
95,"spinach",0.975,"late-season"
96,"spinach",0.97,"late-season"
97,"spinach",0.965,"late-season"
98,"spinach",0.96,"late-season"
99,"spinach",0.955,"late-season"
100,"spinach",0.95,"late-season"
